2020-09-14 21:52:50.815 [main] INFO  [o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:335] [,] - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
>2020-09-14 22:27:56.732 [Eureka-EvictionTimer] INFO  [c.netflix.eureka.registry.AbstractInstanceRegistry:1250] [,] - Running the evict task with compensationTime 0ms
>2020-09-14 22:28:56.732 [Eureka-EvictionTimer] INFO  [c.netflix.eureka.registry.AbstractInstanceRegistry:1250] [,] - Running the evict task with compensationTime 0ms
>2020-09-14 22:29:56.733 [Eureka-EvictionTimer] INFO  [c.netflix.eureka.registry.AbstractInstanceRegistry:1250] [,] - Running the evict task with compensationTime 0ms
>2020-09-14 22:30:56.733 [Eureka-EvictionTimer] INFO  [c.netflix.eureka.registry.AbstractInstanceRegistry:1250] [,] - Running the evict task with compensationTime 0ms
>2020-09-14 22:31:56.734 [Eureka-EvictionTimer] INFO  [c.netflix.eureka.registry.AbstractInstanceRegistry:1250] [,] - Running the evict task with compensationTime 0ms
>2020-09-14 22:32:56.614 [Eureka-PeerNodesUpdater] WARN  [com.netflix.eureka.cluster.PeerEurekaNodes:155] [,] - The replica size seems to be empty. Check the route 53 DNS Registry
>2020-09-14 22:32:56.734 [Eureka-EvictionTimer] INFO  [c.netflix.eureka.registry.AbstractInstanceRegistry:1250] [,] - Running the evict task with compensationTime 0ms
>2020-09-14 22:33:56.735 [Eureka-EvictionTimer] INFO  [c.netflix.eureka.registry.AbstractInstanceRegistry:1250] [,] - Running the evict task with compensationTime 0ms
>2020-09-14 22:34:56.735 [Eureka-EvictionTimer] INFO  [c.netflix.eureka.registry.AbstractInstanceRegistry:1250] [,] - Running the evict task with compensationTime 0ms
>2020-09-14 22:35:56.736 [Eureka-EvictionTimer] INFO  [c.netflix.eureka.registry.AbstractInstanceRegistry:1250] [,] - Running the evict task with compensationTime 0ms
>2020-09-14 22:36:56.737 [Eureka-EvictionTimer] INFO  [c.netflix.eureka.registry.AbstractInstanceRegistry:1250] [,] - Running the evict task with compensationTime 1ms
>
